k,x1,x2,f,grad_norm,error
139,2.8650067720471912,0.47706651212558016,0.00033888407851867617,0.031632275946247415,0.1369274131034584
140,2.8650790317415686,0.47755545574315084,0.0003314378819194817,0.01077084840750571,0.1367750899933548
141,2.866370485655239,0.4771749016671466,0.00032989653198492203,0.03995847436731107,0.1355648635079205
142,2.8664158396539925,0.477797603351964,0.0003185710512459699,0.011191903521847004,0.13541666925554094
143,2.867058005459342,0.47752026800862046,0.00031610484975900827,0.023884680872202933,0.13482919662614845
144,2.8672306756421886,0.4782464170364776,0.0003157883021113543,0.030325198209342846,0.13453962933716068
145,2.867447196282379,0.47782494955335064,0.0003089610417552205,0.010241037590129723,0.1343948608977054
146,2.868487314211446,0.4785711979967635,0.0003077801709640568,0.03832642834924241,0.13324706405250658
147,2.86872134708148,0.4780199716650507,0.0002973754986748595,0.010661862522080618,0.13310599670077397
148,2.869211774301405,0.4784711094834325,0.00029520802808598133,0.022887721943221116,0.1325483048109667
149,2.869592355193798,0.4778655285087362,0.00029496535242642176,0.029076828098172053,0.13227278122160338
150,2.8696559889685913,0.4783153755352451,0.00028870101096046695,0.009751719177610587,0.13213547650019444
151,2.870822298806313,0.4779609791709262,0.00028779363992360234,0.036762833059864074,0.13104425559630542
152,2.8708615088508442,0.4785340586298179,0.0002782315283764173,0.010169479240507057,0.13091041415864774
153,2.8714427667965716,0.4782769264337705,0.0002763131824852814,0.021937080558190766,0.13037965383480848
154,2.8715970238513044,0.4789448795065012,0.0002761260953145267,0.027882738003282434,0.13011780194438513
155,2.8717940956075934,0.47855633203380693,0.00027037490977779757,0.009298434529626302,0.1299868640167892
156,2.872733714207269,0.4792404871409344,0.0002696731452696594,0.03526509205307755,0.12894830310485972
157,2.8729472079025626,0.4787325105212461,0.00026088232837678094,0.009710962414056315,0.12882048784445566
158,2.8733909244339806,0.4791466191025606,0.00025917284420710776,0.021030682844967008,0.12831493097272703
159,2.8737376645084196,0.47858832278454194,0.0002590270811425377,0.02674109907936942,0.1280649729042542
160,2.8737944790488066,0.47900227174726095,0.0002537439079463879,0.008877488561158787,0.12794036935360942
161,2.8748543571709133,0.47867354459512257,0.0002531939228553993,0.033829579065086636,0.12694979172586918
162,2.874888945618729,0.4792009988951559,0.0002451099135416693,0.009282901501349404,0.1268281292748287
163,2.8754181604128535,0.4789632130810013,0.00024357603716569436,0.020165210473362862,0.12634548333356782
164,2.8755574289460917,0.4795777938035684,0.00024346031135758685,0.025648283126724576,0.1261071766254268
165,2.875737540121419,0.4792197937019461,0.00023860476419596297,0.008485575032042728,0.1259879990668381
166,2.876592223840308,0.47984796056655943,0.00023816475490208165,0.03245399851332516,0.12504232847323168
167,2.876787674211666,0.47938004689923785,0.00023072862568781656,0.008882474695273637,0.12492581675557791
168,2.8771918802285046,0.4797605915114167,0.0002293432007105932,0.01933897775158868,0.12446472567670609
169,2.877509130994861,0.47924621569641834,0.00022924876664138843,0.024602707727713276,0.12423659908639524
